pecha_id,ann_id,start,end,split,reason
I058DD999,03203b7b39bb4641a1f160f1c627ee83,26541,26764,train,force_book
I058DD999,cf67a29ddd2745808d25aab11495f1cb,28281,28506,train,force_book
I058DD999,0e944b9bb43f41d789c6d9f90acc9a73,30206,30443,train,force_book
I058DD999,5a7cd588bff34fbea86f278e4f809e77,31764,31981,train,force_book
I058DD999,fc973d147a1041cb9316aa96fbdd68d3,33217,33440,train,force_book
I058DD999,dad040bed7b247dead3da77558434d54,35169,35392,train,force_book
I058DD999,6f8c71b88de74fc3af920e1b1fe15fdd,37545,37581,train,force_book
I058DD999,50212a84e51a433a9c120aa37dd710d5,37736,37831,train,force_book
I058DD999,c5cea96e501743749fad557f2f78c0f4,37862,37922,train,force_book
I058DD999,d9858305e00248ab9b7d26168a34cf03,38309,38424,train,force_book
I058DD999,67255eb7f9a9419984a1877180324c2c,38896,38959,train,force_book
I058DD999,8c53201259704ade9f409d9655372cf0,39596,39636,train,force_book
I058DD999,863cdd305a674ccd9aa15b82545403f1,39837,39944,train,force_book
I058DD999,7c11d76d2e654580b2db89c11d252cf1,40160,40268,train,force_book
I058DD999,8678a7658a1c4a869e64a1843cc577ed,40326,40418,train,force_book
I058DD999,b6b2ab1b83e44ea097d3ea36bc289ee9,41102,41182,train,force_book
I058DD999,a1317482a4344234a6f2f4d13c75ff9e,41322,41364,train,force_book
I058DD999,158e09b176d54d30995a50a41d9b7df6,41753,41895,train,force_book
I058DD999,b4f02ab9dd7147ed93a21adfb4b8c5a1,42114,42154,train,force_book
I058DD999,b47b64c51a644b4092880505c8f4ef1e,42372,42500,train,force_book
I058DD999,323d495bbf034b81bb008b0fd2aa6bae,42515,42630,train,force_book
I058DD999,f617e9541f1946d0ac768fcdd285d845,42948,42990,train,force_book
I058DD999,ba5ddb5a0e504fb98102d97b0a302232,43223,43303,train,force_book
I058DD999,7fc207da396e4f179f56217084a27fbe,43315,43429,train,force_book
I058DD999,529db5c5802f4e18bdf4fab409900f76,43810,43847,train,force_book
I058DD999,3a0d2536edaf43f0a15cb33c3ec9d45e,44323,44397,train,force_book
I058DD999,b13993c8de3a463893046df728616718,44420,44525,train,force_book
I058DD999,c254b00527184e38bfec4f454c574661,44608,44652,train,force_book
I058DD999,ebe3d7b7bcf841d5a904595ef6efaf8d,44754,44821,train,force_book
I058DD999,f746505681b746e18a2c8f13af61b7e5,44832,45019,train,force_book
I058DD999,e7b7afad163940c3af5a25ea8cc7bc6a,45606,45753,train,force_book
I058DD999,8023bdeda7174bf7b90bc8a7a31f85b2,46562,46628,train,force_book
I058DD999,90b044a1dcd8489e8a02100b4f6fe507,46640,46766,train,force_book
I058DD999,b1cf1ccb436247daa9f46c8d853961d3,47171,47328,train,force_book
I058DD999,689785cac5d645d6b69e06e0f2be9e14,47346,47478,train,force_book
I058DD999,5d5c4e06ad3645ff91a9d3258c3ae49b,47849,47997,train,force_book
I058DD999,749f15792285455ea45118db57dff806,48038,48174,train,force_book
I058DD999,85117a7515e04d01aeed52147d290125,48626,48759,train,force_book
I058DD999,ac266d7bae6c478bbeff7982a2964200,49655,49862,train,force_book
I058DD999,808af9b0786943d6892b30fb7b9dcb4b,50363,50443,train,force_book
I058DD999,a5cf6b73a0a04bb68fd765a137a2fa56,50455,50515,train,force_book
I058DD999,41a06edcafac4789acd06805866324c7,50527,50692,train,force_book
I058DD999,8311caf637fa4195b9845af509afb531,51563,51783,train,force_book
I058DD999,1a19b9eb582d4f80bc6f24e4624d05fc,52716,52883,train,force_book
I058DD999,df01707a9a9f4d3e8a67971057ada2b8,52918,53070,train,force_book
I058DD999,883a0ceb2ccb4bdbacc121d402fbbb75,53113,53248,train,force_book
I058DD999,5ce331f3240b495fb419e5801fac6017,54469,54540,train,force_book
I058DD999,63fc1958ee0e49a4a5eb621bde268e91,54564,54682,train,force_book
I058DD999,f93cda3a695b40a68f5d36e07c9d815f,54847,54998,train,force_book
I058DD999,c1f33defdf68491887cfdfd68467553f,55259,55419,train,force_book
I058DD999,763ec83e065b49a5bc0455e9c3736f13,55441,55557,train,force_book
I058DD999,273f0084d32541f5b351566ef3c07d06,55643,55822,train,force_book
I058DD999,a6c637a14f484ada9e9905d016d090a8,55833,55945,train,force_book
I058DD999,f6b63be378544a73966a2467ccce0235,58537,58699,train,force_book
I058DD999,048884dfd018427cb6283ec852c3cb07,58713,58851,train,force_book
I058DD999,acac398f98884fb6aeae20438c1fbd1a,59747,59869,train,force_book
I058DD999,c4fbf2bba834476ca306ffeb7bb4220a,59883,60007,train,force_book
I058DD999,3dfcc56c5f2a4ae9a14b6a020d855c26,60038,60151,train,force_book
I058DD999,e811b062bd844dd7ae74ec942e125812,60352,60498,train,force_book
I058DD999,1bda80f9efc3427592ea38159d6b80d1,60517,60634,train,force_book
I058DD999,f85a481153ff4c94b60d40569b145e72,61443,61609,train,force_book
I058DD999,fecdcd82cc7d4270adeabdede9e521ee,61635,61945,train,force_book
