repo_id,batch,ann_id,start,end,start_is_clean,char_before_start,end_is_clean,last_char_of_span
I058DD999,new,03203b7b39bb4641a1f160f1c627ee83,26541,26763,True,\n,False,ན
I058DD999,new,cf67a29ddd2745808d25aab11495f1cb,28281,28505,True,\n,False,ས
I058DD999,new,0e944b9bb43f41d789c6d9f90acc9a73,30206,30442,True,\n,False,ག
I058DD999,new,5a7cd588bff34fbea86f278e4f809e77,31764,31980,True,\n,False,ྱ
I058DD999,new,fc973d147a1041cb9316aa96fbdd68d3,33217,33439,True,\n,False,ག
I058DD999,new,dad040bed7b247dead3da77558434d54,35169,35391,True,\n,False,མ
I058DD999,new,b4f02ab9dd7147ed93a21adfb4b8c5a1,42114,42153,True,\n,False,ས
I058DD999,new,b47b64c51a644b4092880505c8f4ef1e,42372,42500,True,\n,False,༌
I058DD999,new,f617e9541f1946d0ac768fcdd285d845,42948,42989,True,\n,False,ས
I058DD999,new,ba5ddb5a0e504fb98102d97b0a302232,43223,43302,True,\n,False,ང
I058DD999,new,ebe3d7b7bcf841d5a904595ef6efaf8d,44754,44820,True,\n,False,ང
I058DD999,new,8023bdeda7174bf7b90bc8a7a31f85b2,46562,46628,True,\n,False,༌
I058DD999,new,b1cf1ccb436247daa9f46c8d853961d3,47171,47328,True,\n,False,༌
I058DD999,new,85117a7515e04d01aeed52147d290125,48626,48758,True,\n,False,ར
I058DD999,new,ac266d7bae6c478bbeff7982a2964200,49655,49861,True,\n,False,ར
I058DD999,new,41a06edcafac4789acd06805866324c7,50527,50691,True,\n,False,ར
I058DD999,new,1a19b9eb582d4f80bc6f24e4624d05fc,52716,52883,True,\n,False,༌
I058DD999,new,df01707a9a9f4d3e8a67971057ada2b8,52918,53070,True,\n,False,༌
I058DD999,new,5ce331f3240b495fb419e5801fac6017,54469,54540,True,\n,False,༌
I058DD999,new,c1f33defdf68491887cfdfd68467553f,55259,55419,True,\n,False,༌
I058DD999,new,f6b63be378544a73966a2467ccce0235,58537,58699,True,\n,False,༌
I058DD999,new,acac398f98884fb6aeae20438c1fbd1a,59747,59869,True,\n,False,༌
I058DD999,new,c4fbf2bba834476ca306ffeb7bb4220a,59883,60007,True,\n,False,༌
I058DD999,new,e811b062bd844dd7ae74ec942e125812,60352,60498,True,\n,False,༌
I058DD999,new,f85a481153ff4c94b60d40569b145e72,61443,61609,True,\n,False,༌
I058DD999,new,0a2f8c32101f455390b6c3c31d8f2e80,64812,64889,True,\n,False,ེ
I058DD999,new,3a503aa27c4a492f91a5f5c5137b0ccb,65157,65260,True,\n,False,ེ
I058DD999,new,a9122d4eb47f4f95918108cb110acb4e,65590,65916,True,\n,False,ེ
I058DD999,new,83b915904da9421ab1b1c3953517035a,71443,71837,True,\n,False,ེ
I058DD999,new,efcfa11f08c0427e8cd307a6767169be,95139,95300,True,\n,False,ད
I058DD999,new,3cd2469c78c04da5a0e359b314f1b8ec,109470,109556,True,\n,False,ན
I058DD999,new,ba6b867484c648c9ab62e9a11ba311c7,109786,109907,True,\n,False,ར
I058DD999,new,631f49fe5327438096142d862ce729b0,113006,113250,True,\n,False,༌
I058DD999,new,155d80767dc14dfa9b45252cdb8058a4,122377,122493,True,\n,False,ར
I058DD999,new,ec9625924e0542e9995bb86f78596709,156713,156756,True,\n,False,ལ
I058DD999,new,c7fab1ba78ff4d39861918c676d65c0b,156758,156776,True,\n,False,ི
I058DD999,new,6c4fc7c55d804a2c94de49b937841977,156870,156885,True,\n,False,ི
I058DD999,new,00c5588d29274be4b7f5c2aa043b1e70,156982,156996,True,\n,False,ི
I058DD999,new,c07bf0ea189041e5a8bdc4d798233e98,157096,157110,True,\n,False,ི
I069801F1,new,0c958ed7595447858c8adb1469be937f,55646,55772,True,\n,False,ད
I069801F1,new,4f9a2949c79949f1a9e045b0a585f53e,55774,55879,True,\n,False,༠
I0FCFA88F,new,a94a1639556b4ad3872dd024b9c5a578,34269,34513,True,\n,False,མ
I0FCFA88F,new,1abf952c7b574a7e9e92fbd3f860f6be,35757,35876,True,\n,False,བ
I0FCFA88F,new,dadc3c92dbdd4a768b89b2ea22e4367f,41271,41355,True,\n,False,ན
